Experiment,Learning Rate,Max Depth,Scale Pos Weight,Precision Non-Firearm,Recall Non-Firearm,F1 Non-Firearm,Precision Firearm,Recall Firearm,F1 Firearm,Accuracy
Label_Encoding_With SMOTE_LR0.3_MD5_SPW0.4905717170932536,0.3,5,0.4905717170932536,0.3741629580335233,0.890252350321623,0.5268829799695444,0.8334834834834834,0.26949218370715605,0.40729327170005136,0.4737973487932775
Label_Encoding_With SMOTE_LR0.3_MD6_SPW1,0.3,6,1.0,0.47842202806460155,0.5364670954972786,0.50578466131741,0.7582077224860624,0.7130789397028838,0.7349512134100575,0.6549522847930169
Label_Encoding_With SMOTE_LR0.3_MD6_SPW0.4905717170932536,0.3,6,0.4905717170932536,0.3746905551126589,0.8837209302325582,0.5262537568507278,0.8289665211062591,0.27648315370424315,0.4146643366826853,0.47633781715141843
Label_Encoding_With SMOTE_LR0.1_MD3_SPW1,0.1,3,1.0,0.4626425634261774,0.5901039089559624,0.5186570409672089,0.7674862467722017,0.6637537625012138,0.7118608768093304,0.6395140540012376
Label_Encoding_With SMOTE_LR0.1_MD3_SPW0.4905717170932536,0.1,3,0.4905717170932536,0.36172587660213235,0.9300346363186541,0.5208668181566258,0.850275307073274,0.19492183707156036,0.31714060031595576,0.43686284727876756
Label_Encoding_With SMOTE_LR0.1_MD5_SPW1,0.1,5,1.0,0.4724800521087771,0.5742701632855022,0.5184258721579488,0.7664621898919711,0.6854548985338382,0.7236987108844409,0.64886167475491
Label_Encoding_With SMOTE_LR0.1_MD5_SPW0.4905717170932536,0.1,5,0.4905717170932536,0.3679590053229522,0.9166749134092034,0.5251282632727685,0.8477120636643154,0.22754636372463347,0.35878593026371186,0.45435299482135294
Label_Encoding_With SMOTE_LR0.1_MD6_SPW1,0.1,6,1.0,0.47585976068948205,0.5627906976744186,0.5156873413130214,0.7643984641638225,0.6958928051267114,0.7285387547649301,0.6520861153633195
Label_Encoding_With SMOTE_LR0.1_MD6_SPW0.4905717170932536,0.1,6,0.4905717170932536,0.3704334428090662,0.9041068777832756,0.5255407271053842,0.839569536423841,0.2461889503835324,0.3807342893610631,0.4627235123603557
Label_Encoding_With SMOTE_LR0.01_MD3_SPW1,0.01,3,1.0,0.44862385321100917,0.5323107372587828,0.486897488119484,0.74744829797467,0.6790465093698417,0.7116074381216453,0.6307526951763671
Label_Encoding_With SMOTE_LR0.01_MD3_SPW0.4905717170932536,0.01,3,0.4905717170932536,0.3291209328078689,1.0,0.4952460301901588,0.0,0.0,0.0,0.3291209328078689
Label_Encoding_With SMOTE_LR0.01_MD5_SPW1,0.01,5,1.0,0.4500300120048019,0.5935675408213755,0.5119276234370332,0.7636258992805756,0.6441402077871639,0.6988123140125879,0.6274956844608018
Label_Encoding_With SMOTE_LR0.01_MD5_SPW0.4905717170932536,0.01,5,0.4905717170932536,0.3291530944625407,1.0,0.49528244087734347,1.0,0.00014564520827264782,0.000291247997670016,0.3292186431293359
Label_Encoding_With SMOTE_LR0.01_MD6_SPW1,0.01,6,1.0,0.45928015860912,0.5960415635823849,0.5187992592273569,0.7679231337767923,0.6557432760462181,0.707413517689266,0.6360941927498941
Label_Encoding_With SMOTE_LR0.01_MD6_SPW0.4905717170932536,0.01,6,0.4905717170932536,0.34392090870845604,0.9708065314200891,0.5079085661031867,0.864616796695732,0.09146519079522283,0.165430039074505,0.3808748330782008
