Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Sheriff,Male,50,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Sheriff,Female,28,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,16,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Sheriff,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Autumn
Municipal Police,Male,37,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Autumn
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Female,31,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Autumn
Sheriff,Male,51,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,West,Winter
Sheriff,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Sheriff,Male,44,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,37,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,19,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,35,Hispanic,Female,Not Hispanic,Non-Firearm,Lover,West,Autumn
Sheriff,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,33,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,39,Not Hispanic,Male,Hispanic,Non-Firearm,Family,West,Autumn
Sheriff,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Winter
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Winter
Municipal Police,Female,22,Not Hispanic,Male,Hispanic,Firearm,Lover,West,Autumn
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,33,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Winter
Municipal Police,Male,45,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Winter
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Summer
Municipal Police,Male,60,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,70,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,49,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,53,Hispanic,Male,Hispanic,Firearm,Family,West,Spring
Municipal Police,Male,57,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Spring
Municipal Police,Female,83,Not Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Summer
Municipal Police,Female,58,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Municipal Police,Male,38,Hispanic,Male,Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,27,Not Hispanic,Female,Not Hispanic,Firearm,Lover,West,Autumn
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Autumn
Municipal Police,Female,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Female,46,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Spring
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Autumn
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Autumn
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Municipal Police,Female,39,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Winter
Municipal Police,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,49,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Autumn
Sheriff,Female,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Summer
Sheriff,Male,41,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Female,33,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,53,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,48,Not Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Summer
Sheriff,Male,25,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,32,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Summer
Sheriff,Female,16,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Sheriff,Male,25,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Sheriff,Female,18,Hispanic,Male,Hispanic,Firearm,Lover,West,Autumn
Municipal Police,Female,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Female,24,Hispanic,Male,Not Hispanic,Firearm,Lover,West,Winter
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,17,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,76,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,41,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Male,42,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Spring
Municipal Police,Male,33,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,37,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,25,Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Female,23,Hispanic,Male,Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Female,37,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Summer
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Female,48,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,27,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Municipal Police,Male,60,Not Hispanic,Female,Not Hispanic,Firearm,Lover,West,Summer
Municipal Police,Male,20,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Municipal Police,Male,42,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Autumn
Municipal Police,Male,34,Hispanic,Male,Hispanic,Firearm,Family,West,Autumn
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,40,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Female,50,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,25,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,30,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Summer
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Female,48,Hispanic,Male,Hispanic,Non-Firearm,Lover,West,Summer
Municipal Police,Male,63,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Female,57,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Autumn
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Female,40,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Spring
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,20,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Female,36,Hispanic,Male,Hispanic,Non-Firearm,Lover,West,Spring
Municipal Police,Female,38,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Summer
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,17,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Winter
Sheriff,Male,29,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Spring
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,48,Not Hispanic,Female,Not Hispanic,Firearm,Lover,West,Winter
Sheriff,Female,24,Hispanic,Male,Hispanic,Firearm,Lover,West,Winter
Sheriff,Male,19,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Sheriff,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,66,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Sheriff,Male,44,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,West,Spring
Sheriff,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,1,Not Hispanic,Female,Not Hispanic,Non-Firearm,Family,West,Spring
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Female,19,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Autumn
Sheriff,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Autumn
Sheriff,Male,24,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,West,Autumn
Sheriff,Male,41,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,16,Hispanic,Male,Hispanic,Firearm,Family,West,Winter
Sheriff,Male,29,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Winter
Municipal Police,Male,32,Hispanic,Male,Hispanic,Non-Firearm,Family,West,Winter
Municipal Police,Male,34,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Female,75,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Female,22,Hispanic,Male,Hispanic,Firearm,Lover,West,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Municipal Police,Female,31,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Summer
Municipal Police,Male,31,Hispanic,Male,Hispanic,Non-Firearm,Lover,West,Summer
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Female,19,Hispanic,Male,Hispanic,Firearm,Lover,West,Spring
Municipal Police,Female,35,Hispanic,Male,Hispanic,Firearm,Lover,West,Spring
Municipal Police,Male,48,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,31,Hispanic,Male,Hispanic,Non-Firearm,Family,West,Autumn
Municipal Police,Male,23,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Winter
Sheriff,Male,21,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,88,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Female,66,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Spring
Municipal Police,Male,45,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Female,45,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Female,40,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Female,40,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Sheriff,Male,30,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Male,30,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Winter
Sheriff,Male,35,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Winter
Sheriff,Male,27,Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Sheriff,Male,37,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Female,36,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Winter
Sheriff,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Sheriff,Female,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Spring
Sheriff,Female,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Spring
Sheriff,Male,19,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,19,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Spring
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Sheriff,Male,52,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Sheriff,Male,16,Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,30,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,West,Spring
Sheriff,Male,46,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,40,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,33,Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,53,Hispanic,Female,Not Hispanic,Non-Firearm,Stranger,West,Spring
Sheriff,Male,27,Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Sheriff,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Sheriff,Male,14,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Sheriff,Female,34,Not Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,47,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,23,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Summer
Sheriff,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Female,22,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,21,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,40,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,28,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Sheriff,Male,48,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Sheriff,Male,35,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Female,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Female,27,Hispanic,Male,Hispanic,Firearm,Lover,West,Summer
Sheriff,Male,22,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,West,Summer
Sheriff,Male,40,Hispanic,Male,Hispanic,Firearm,Family,West,Summer
Sheriff,Male,9,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Sheriff,Male,43,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Summer
Sheriff,Male,25,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Sheriff,Male,20,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Autumn
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Autumn
Sheriff,Male,30,Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,15,Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,21,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Sheriff,Male,16,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,10,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Female,4,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,West,Autumn
Sheriff,Female,24,Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,13,Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Sheriff,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,49,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,62,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Sheriff,Male,34,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Sheriff,Female,17,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Winter
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,25,Hispanic,Male,Hispanic,Non-Firearm,Lover,West,Winter
Municipal Police,Male,40,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Summer
Municipal Police,Male,16,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,24,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Spring
Municipal Police,Male,37,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Male,29,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Female,71,Hispanic,Male,Hispanic,Non-Firearm,Family,West,Winter
Municipal Police,Male,99,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Winter
Municipal Police,Male,27,Hispanic,Male,Hispanic,Firearm,Family,West,Autumn
Municipal Police,Male,21,Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Female,27,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,33,Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,29,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Autumn
Municipal Police,Male,32,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,99,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,31,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Winter
Municipal Police,Male,25,Hispanic,Male,Hispanic,Non-Firearm,Stranger,West,Autumn
Municipal Police,Male,18,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,18,Hispanic,Male,Hispanic,Non-Firearm,Family,West,Summer
Municipal Police,Male,48,Hispanic,Male,Hispanic,Non-Firearm,Family,West,Summer
Municipal Police,Male,18,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,14,Hispanic,Male,Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,2,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,42,Hispanic,Male,Hispanic,Firearm,Lover,West,Winter
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Winter
Municipal Police,Male,26,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,99,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Spring
Municipal Police,Female,25,Not Hispanic,Male,Not Hispanic,Firearm,Lover,West,Spring
Municipal Police,Male,16,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Female,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Female,47,Hispanic,Male,Hispanic,Non-Firearm,Lover,West,Spring
Municipal Police,Male,14,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Spring
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,28,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,20,Hispanic,Male,Hispanic,Firearm,Stranger,West,Spring
Municipal Police,Male,28,Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Summer
Municipal Police,Male,9,Hispanic,Female,Hispanic,Firearm,Family,West,Summer
Municipal Police,Female,29,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Male,63,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,West,Summer
Municipal Police,Female,11,Hispanic,Male,Hispanic,Firearm,Family,West,Summer
Municipal Police,Female,22,Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,18,Hispanic,Male,Hispanic,Firearm,Stranger,West,Summer
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Autumn
Municipal Police,Female,44,Hispanic,Male,Hispanic,Firearm,Lover,West,Autumn
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Autumn
Municipal Police,Male,42,Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,27,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Female,42,Not Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Winter
Municipal Police,Female,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,22,Not Hispanic,Male,Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Female,24,Not Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,West,Winter
Municipal Police,Male,39,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,West,Autumn
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Spring
Municipal Police,Male,37,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Family,West,Winter
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
Municipal Police,Male,65,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,West,Summer
Municipal Police,Female,33,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Summer
Municipal Police,Male,15,Hispanic,Male,Hispanic,Firearm,Stranger,West,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,West,Spring
