Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Municipal Police,Male,53,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,25,Not Hispanic,Female,Not Hispanic,Firearm,Family,South,Winter
Municipal Police,Female,18,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Spring
Municipal Police,Male,40,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Autumn
Sheriff,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Female,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Autumn
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Female,56,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Sheriff,Male,4,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Sheriff,Male,37,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Female,42,Hispanic,Male,Hispanic,Firearm,Lover,South,Winter
Municipal Police,Male,45,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,41,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Female,36,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Winter
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Municipal Police,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,47,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Sheriff,Male,29,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Spring
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Summer
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Female,27,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Female,47,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Autumn
Municipal Police,Male,45,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Winter
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,37,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,45,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,South,Winter
Sheriff,Male,64,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,82,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Spring
Sheriff,Female,65,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Spring
Sheriff,Male,49,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,37,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Spring
Sheriff,Male,51,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,29,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Summer
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Sheriff,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Female,18,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Female,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,30,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Sheriff,Female,36,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Sheriff,Female,17,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Sheriff,Male,60,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,23,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Municipal Police,Female,25,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,52,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Sheriff,Male,53,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Female,65,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Sheriff,Male,56,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Female,26,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Sheriff,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Municipal Police,Female,55,Not Hispanic,Female,Not Hispanic,Non-Firearm,Family,South,Spring
Municipal Police,Male,59,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,13,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,33,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Autumn
Sheriff,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,62,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Winter
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
